gloo Gloo roam, exp
silvanna > layla = 2
silvanna > valir = 2
silvanna > valentina = 2
silvanna > barats = -2
silvanna > benedetta = -2
silvanna > edith = -2
silvanna > khufra = -2
silvanna > lapulapu = -2
silvanna > martis = -2

hilda Hilda roam, exp
hilda > diggie = 2
hilda > granger = 2
hilda > nolan = 2
hilda > ling = 2
hilda > irithel = 2
hilda > zilong = 2
hilda > layla = 2
hilda > novaria = 2
hilda > aamon = -2
hilda > karrie = -2
hilda > alpha = -2
hilda > kimmy = -2
hilda > sun = -2
hilda > thamuz = -2
hilda > uranus = -2

aulus Aulus jungle
aulus > chip = 2
aulus > balmond = 2
aulus > alice = 2
aulus > lolita = 2
aulus > esmeralda = 2
aulus > hanabi = 2
aulus > yve = 2
aulus > gord = 2
aulus > valentina = 1
aulus > joy = 1
aulus > phoveus = 1
aulus > odette = 1
aulus > zhuxin = -2
aulus > ixia = -2
aulus > atlas = -2
aulus > thamuz = -2
aulus > brody = -2
aulus > franco = -2
aulus > wanwan = -2

argus Argus exp
argus > masha = 2
argus > saber = 2
argus > minsitthar = 2
argus > arlott = 2
argus > karrie = 2
argus > gord = 2
argus > aurora = 2
argus > odette = 2
argus > barats = -2
argus > esmeralda = -2
argus > terizla = -2
argus > mathilda = -2
argus > irithel = -2
argus > gatotkaca = -2
argus > tigreal = -2

kadita Kadita mid
kadita > lolita = 2
kadita > ixia = 2
kadita > johnson = 2
kadita > hanzo = 1
kadita > silvanna = 1
kadita > aurora = 1
kadita > eudora = 1
kadita > valentina = -2
kadita > harith = -2
kadita > cyclops = -2
kadita > novaria = -1
kadita > obsidia = -1
kadita > clint = -2
kadita > beatrix = -2

freya Freya exp, jungle, gold
freya > mathilda = 2
freya > lolita = 2
freya > faramis = 2
freya > khaleed = 2
freya > yve = 2
freya > lesley = 2
freya > ixia = 2
freya > harith = 2
freya > minsitthar = -2
freya > phoveus = -2
freya > baxia = -2
freya > barats = -1
freya > edith = -1
freya > obsidia = -2

popol Popol and Kupa jungle, gold
popol > mathilda = 2
popol > brody = 2
popol > lolita = 2
popol > wanwan = 2
popol > karrie = 2
popol > lesley = 2
popol > rafaela = 2
popol > harith = 2
popol > cyclops = 2
popol > atlas = -2
popol > carmilla = -2
popol > hanabi = -2
popol > lapulapu = -2
popol > barats = -2
popol > gusion = -2
popol > karina = -2

ixia Ixia gold
ixia > estes = 2
ixia > lolita = 2
ixia > rafaela = 2
ixia > floryn = 2
ixia > minotaur = 2
ixia > fredrinn = 2
ixia > bane = 2
ixia > wanwan = -2
ixia > hanzo = -2
ixia > claude = -2
ixia > kadita = -2
ixia > natalia = -2
ixia > saber = -2
ixia > aamon = -2

rafaela Rafaela roam
rafaela > aulus = 2
rafaela > natalia = 2
rafaela > valentina = 2
rafaela > valir = 2
rafaela > karrie = 2
rafaela > alice = 2
rafaela > hylos = 2
rafaela > kaja = 2
rafaela > masha = 2
rafaela > barats = 2
rafaela > odette = -2
rafaela > ixia = -2
rafaela > silvanna = -2
rafaela > layla = -2
rafaela > vale = -2
rafaela > ling = -2
rafaela > hayabusa = -2

minsitthar Minsitthar exp
minsitthar > freya = 2
minsitthar > harith = 2
minsitthar > valentina = 2
minsitthar > phoveus = 2
minsitthar > martis = 2
minsitthar > chip = 2
minsitthar > benedetta = 2
minsitthar > arlott = 2
minsitthar > baxia = -2
minsitthar > natalia = -2
minsitthar > argus = -2
minsitthar > x.borg = -2
minsitthar > yin = -2
minsitthar > zilong = -2
minsitthar > aulus = -2

ruby Ruby exp
ruby > gloo = 2
ruby > sun = 2
ruby > argus = 2
ruby > masha = 2
ruby > zhask = 2
ruby > karina = 2
ruby > faramis = 1
ruby > aldous = 2
ruby > guinevere = 2
ruby > phoveus = -2
ruby > x.borg = -2
ruby > arlott = -2
ruby > lolita = -2
ruby > bruno = -2
ruby > wanwan = -2
ruby > irithel = -2

natan Natan gold
natan > gloo = 2
natan > sun = 2
natan > zhask = 2
natan > x.borg = 2
natan > johnson = 2
natan > barats = 2
natan > uranus = 2
natan > tigreal = 2
natan > gatotkaca = 2
natan > chip = -2
natan > wanwan = -2
natan > lolita = -2
natan > saber = -2
natan > arlott = -2
natan > eudora = -2

melissa Melissa gold
melissa > masha = 2
melissa > joy = 2
melissa > alucard = 2
melissa > lolita = 2
melissa > aldous = 2
melissa > mathilda = 2
melissa > paquito = 2
melissa > sun = 2
melissa > zilong = 2
melissa > belerick = -2
melissa > terizla = -2
melissa > baksiy = -2
melissa > yisunshin = -2
melissa > x.borg = -2
melissa > xavier = -1
melissa > nana = -1

khufra Khufra roam
khufra > paquito = 2
khufra > guinevere = 2
khufra > alucard = 2
khufra > layla = 2
khufra > natalia = 2
khufra > valentina = 2
khufra > wanwan = 2
khufra > beatrix = 2
khufra > novaria = 2
khufra > joy = 2
khufra > lancelot = 2
khufra > zhuxin = -2
khufra > minotaur = -2
khufra > baxia = -2
khufra > kalea = -2
khufra > nolan = -2
khufra > fredrinn = -2
khufra > gloo = -2

leomord Leomord jungle
leomord > lolita = 2
leomord > belerick = 2
leomord > popol = 2
leomord > khaleed = 2
leomord > saber = 2
leomord > eudora = 2
leomord > zhask = 2
leomord > odette = 2
leomord > pharsa = 2
leomord > yve = 2
leomord > cecilion = 2
leomord > zhuxin = -2
leomord > karrie = -2
leomord > valir = -2
leomord > khufra = -2
leomord > angela = -2
leomord > phoveus = -2
leomord > franco = -2
leomord > akai = -2
leomord > nana = -2

benedetta Benedetta exp, jungle
benedetta > alpha = 2
benedetta > x.borg = 2
benedetta > atlas = 2
benedetta > silvanna = 2
benedetta > gord = 2
benedetta > baksiy = 2
benedetta > thamuz = 2
benedetta > ixia = 2
benedetta > jawhead = 2
benedetta > guinevere = 2
benedetta > phoveus = -2
benedetta > faramis = -2
benedetta > irithel = -2
benedetta > obsidia = -2
benedetta > harith = -2
benedetta > minsitthar = -2

zetian Zetian mid
zetian > lolita = 2
zetian > natalia = 2
zetian > tigreal = 2
zetian > popol = 2
zetian > atlas = 2
zetial > balmond = 2
zetian > zilong = 2
zetian > gloo = -2
zetian > floryn = -2
zetian > valentina = -2
zetian > mathilda = -1
zetian > estes = -1

gord Gord mid
gord > barats = 2
gord > phoveus = 2
gord > fredrinn = 2
gord > lolita = 2
gord > ruby = 2
gord > baksiy = 2
gord > natalia = -2
gord > hanzo = -2
gord > masha = -2
gord > ling = -2
gord > joy = -2
gord > fanny = -2
gord > lancelot = -2

bane Bane jungle, exp
bane > phoveus = 2
bane > claude = 2
bane > faramis = 2
bane > odette = 2
bane > fanny = 2
bane > chip = 2
bane > wanwan = 2
bane > khufra = 2
bane > hylos = 2
bane > belerick = 2
bane > lolita = -2
bane > baksiy = -2
bane > mathilda = -2
bane > aulus = -2
bane > yin = -2
bane > vale = -2
bane > xavier = -2

aamon Aamon jungle
aamon > cici = 2
aamon > ling = 2
aamon > claude = 2
aamon > masha = 2
aamon > hilda = 2
aamon > xavier = 2
aamon > cecilion = 2
aamon > gloo = -2
aamon > odette = -2
aamon > barats = -2
aamon > silvanna = -2
aamon > lolita = -2
aamon > balmond = -2
aamon > fredrinn = -2

khaleed Khaleed exp, roam
khaleed > zhask = 2
khaleed > vale = 2
khaleed > argus = 2
khaleed > ling = 2
khaleed > yin = 2
khaleed > diggie = 2
khaleed > baksiy = 2
khaleed > chip = 2
khaleed > lylia = 1
khaleed > cyclops = 2
khaleed > xavier = 2
khaleed > clint = -2
khaleed > yve = -2
khaleed > alice = -2
khaleed > bruno = -2
khaleed > freya = -2
khaleed > x.borg = -2
khaleed > chou = -2

hanzo Hanzo jungle
hanzo > barats = 2
hanzo > balmond = 2
hanzo > alpha = 2
hanzo > ixia = 2
hanzo > lolita = 2
hanzo > yve = 2
hanzo > diggie = 2
hanzo > gord = 2
hanzo > carmilla = 2
hanzo > layla = 2
hanzo > zhuxin = 2
hanzo > natalia = -2
hanzo > ling = -2
hanzo > moskov = -2
hanzo > paquito = -2
hanzo > obsidia = -2
hanzo > fanny = -2
hanzo > lancelot = -2
hanzo > arlott = -2

uranus Uranus exp
uranus > irithel = 2
uranus > argus = 2
uranus > obsidia = 2
uranus > yisunshin = 2
uranus > layla = 2
uranus > diggie = 2
uranus > gatotkaca = 2
uranus > tigreal = 2
uranus > franco = 2
uranus > angela = -2
uranus > karrie = -2
uranus > dyrroth = -2
uranus > estes = -2
uranus > aulus = -2
uranus > lesley = -2

zhuxin Zhuxin mid
zhuxin > lolita = 2
zhuxin > gloo = 2
zhuxin > khufra = 2
zhuxin > alice = 2
zhuxin > leomord = 2
zhuxin > baxia = 2
zhuxin > terizla = 2
zhuxin > chip = 2
zhuxin > cyclops = 2
zhuxin > popol = 2
zhuxin > valir = -2
zhuxin > hayabusa = -2
zhuxin > saber = -2
zhuxin > rafaela = -2
zhuxin > nolan = -2
zhuxin > fanny = -2

irithel Irithel gold
irithel > wanwan = 2
irithel > benedetta = 2
irithel > argus = 2
irithel > minsitthar = 2
irithel > ling = 2
irithel > mathilda = 2
irithel > hanzo = 2
irithel > miya = 2
irithel > alpha = 2
irithel > brody = -2
irithel > eudora = -2
irithel > bruno = -2
irithel > uranus = -2
irithel > cyclops = -2
irithel > badang = -2
irithel > silvanna = -2

carmilla Carmilla roam
carmilla > chip = 2
carmilla > popol = 2
carmilla > aulus = 2
carmilla > barats = 2
carmilla > johnson = 2
carmilla > khufra = 2
carmilla > phoveus = 2
carmilla > dyrroth = 2
carmilla > lapulapu = 2
carmilla > faramis = -2
carmilla > x.borg = -2
carmilla > valentina = -2
carmilla > hanzo = -2
carmilla > fanny = -2
carmilla > hanabi = -2
carmilla > wanwan = -2

natalia Natalia jungle, roam
natalia > hanzo = 2
natalia > ling = 2
natalia > xavier = 2
natalia > gord = 2
natalia > x.borg = 2
natalia > lolita = 2
natalia > novaria = 2
natalia > irithel = 2
natalia > saber = -2
natalia > karina = -2
natalia > cyclops = -2
natalia > paquito = -2
natalia > alucard = -2
natalia > minsitthar = -2
natalia > kaja = -2

fredrinn Fredrinn jungle
fredrinn > gloo = 2
fredrinn > argus = 2
fredrinn > esmeralda = 2
fredrinn > joy = 2
fredrinn > lunox = 2
fredrinn > saber = 2
fredrinn > alucard = 2
fredrinn > harith = 2
fredrinn > vale = 1
fredrinn > eudora = 1
fredrinn > karrie = -2
fredrinn > valir = -2
fredrinn > x.borg = -2
fredrinn > hanzo = -2
fredrinn > gord = -2
fredrinn > lesley = -2

karrie Karrie gold
karrie > alice = 2
karrie > leomord = 2
karrie > esmeralda = 2
karrie > terizla = 2
karrie > lapulapu = 2
karrie > fredrinn = 2
karrie > uranus = 2
karrie > harith = 2
karrie > tigreal = 2
karrie > sun = -2
karrie > popol = -2
karrie > rafaela = -2
karrie > lolita = -2
karrie > minsitthar = -2
karrie > xavier = -2
karrie > layla = -2
karrie > nana = -2

valir Valir mid
valir > barats = 2
valir > fredrinn = 2
valir > leomord = 2
valir > thamuz = 2
valir > balmond = 2
valir > alice = 2
valir > baxia = 2
valir > lolita = -2
valir > rafaela = -2
valir > ling = -2
valir > mathilda = -2
valir > helcurt = -2
valir > lancelot = -2
valir > fanny = -2

edith Edith exp, roam
edith > chip = 2
edith > harith = 2
edith > joy = 2
edith > silvanna = 2
edith > mathilda = 2
edith > yve = 2
edith > diggie = 2
edith > zilong = 2
edith > aulus = 2
edith > lolita = -2
edith > masha = -2
edith > layla = -2
edith > luoyi = -2
edith > lolita = -2
edith > popol = -2
edith > hanabi = -2
edith > wanwan = -2

obsidia Obsidia gold
obsidia > benedetta = 2
obsidia > hanzo = 2
obsidia > natalia = 2
obsidia > hayabusa = 2
obsidia > novaria = 2
obsidia > beatrix = 2
obsidia > helcurt = 2
obsidia > freya = 2
obsidia > lancelot = 2
obsidia > baxia = -2
obsidia > uranus = -2
obsidia > belerick = -2
obsidia > karina = -2
obsidia > popol = -2
obsidia > layla = -2
obsidia > bruno = -2

yve Yve mid
yve > lolita = 2
yve > popol = 2
yve > alice = 2
yve > belerick = 2
yve > x.borg = 2
yve > mathilda = 2
yve > baxia = 2
yve > gloo = 2
yve > diggie = 2
yve > fredrinn = 2
yve > barats = 2
yve > aulus = 2
yve > harith = -2
yve > zhask = -2
yve > fanny = -2
yve > faramis = -2
yve > luoyi = -2
yve > yin = -2
yve > saber = -2
yve > karina = -2

alice Alice exp, jungle
alice > gloo = 2
alice > popol = 2
alice > atlas = 2
alice > chip = 2
alice > tigreal = 2
alice > valentina = 2
alice > barats = 2
alice > cecilion = 2
alice > change = 2
alice > karrie = -2
alice > angela = -2
alice > floryn = -2
alice > baxia = -2
alice > estes = -2
alice > martis = -2

faramis Faramis mid
faramis > gloo = 2
faramis > chip = 2
faramis > wanwan = 2
faramis > sun = 2
faramis > zhask = 2
faramis > masha = 2
faramis > yve = 2
faramis > carmilla = 2
faramis > mathilda = 2
faramis > saber = 2
faramis > eudora = 2
faramis > valentina = -2
faramis > cyclops = -2
faramis > roger = -2
faramis > thamuz = -2
faramis > xavier = -2
faramis > novaria = -2
faramis > pharsa = -2

belerick Belerick roam
belerick > miya = 2
belerick > obsidia = 2
belerick > melissa = 2
belerick > silvanna = 2
belerick > johnson = 2
belerick > minsitthar = 2
belerick > lancelot = 2
belerick > ling = 2
belerick > lesley = -2
belerick > brody = -2
belerick > mathilda = -2
belerick > bruno = -2
belerick > clint = -2
belerick > valir = -2
belerick > xavier = -2

atlas Atlas roam
atlas > layla = 2
atlas > lolita = 2
atlas > eudora = 2
atlas > baksiy = 2
atlas > estes = 2
atlas > popol = 2
atlas > johnson = 2
atlas > vexana = 2
atlas > valentina = -2
atlas > diggie = -2
atlas > wanwan = -2
atlas > benedetta = -2
atlas > ling = -2
atlas > valir = -2
atlas > moskov = -2

guinevere Guinevere exp
guinevere > julian = 2
guinevere > lunox = 2
guinevere > esmeralda = 2
guinevere > karrie = 2
guinevere > gatotkaca = 2
guinevere > lylia = 2
guinevere > baxia = 2
guinevere > aulus = 2
guinevere > thamuz = 2
guinevere > zilong = 2
guinevere > silvanna = 2
guinevere > masha = -2
guinevere > khufra = -2
guinevere > wanwan = -2
guinevere > diggie = -2
guinevere > chip = -2
guinevere > badang = -2
guinevere > chou = -2

terizla Terizla exp
terizla > popol = 2
terizla > minsitthar = 2
terizla > argus = 2
terizla > bruno = 2
terizla > masha = 2
terizla > phoveus = 2
terizla > odette = 2
terizla > khufra = 2
terizla > silvanna = 2
terizla > zilong = 2
terizla > sun = 2
terizla > zhuxin = -2
terizla > x.borg = -2
terizla > lylia = -2
terizla > alpha = -2
terizla > diggie = -2
terizla > arlott = -2
terizla > lesley = -2

akai Akai roam
akai > argus = 2
akai > barats = 2
akai > masha = 2
akai > alucard = 2
akai > atlas = 2
akai > fredrinn = 2
akai > eudora = 2
akai > brody = 2
akai > tigreal = 2
akai > odette = 2
akai > esmeralda = -2
akai > cyclops = -2
akai > alice = -2
akai > zhuxin = -2
akai > hanabi = -2
akai > nana = -2
akai > diggie = -2

------

vexana Vexana mid
vexana > gloo = 2
vexana > chip = 2
vexana > lolita = 2
vexana > zhask = 2
vexana > sun = 2
vexana > harith = 2
vexana > layla = 2
vexana > irithel = 2
vexana > xavier = 1
vexana > natalia = -2
vexana > alice = -2
vexana > x.borg = -2
vexana > faramis = -2
vexana > saber = -2
vexana > aamon = -2
vexana > karina = -2

yisunshin Yi Sun-shin jungle
yisunshin > khufra = 2
yisunshin > melissa = 2
yisunshin > ling = 2
yisunshin > benedetta = 2
yisunshin > ruby = 2
yisunshin > thamuz = 2
yisunshin > ixia = 2
yisunshin > uranus = -2
yisunshin > karina = -2
yisunshin > esmeralda = -2
yisunshin > aamon = -2
yisunshin > cyclops = -2
yisunshin > franco = -2
yisunshin > kaja = -2

brody Brody gold
brody > natalia = 2
brody > belerick = 2
brody > karina = 2
brody > irithel = 2
brody > helcurt = 2
brody > aamon = 2
brody > yin = 2
brody > barats = -2
brody > popol = -2
brody > masha = -2
brody > diggie = -2
brody > valentina = -2
brody > martis = -2
brody > wanwan = -2

odette Odette mid
odette > mathilda = 2
odette > kaja = 2
odette > rafaela = 2
odette > joy = 2
odette > harith = 2
odette > natalia = 2
odette > aamon = 2
odette > karina = 2
odette > layla = 2
odette > irithel = 2
odette > vale = -2
odette > barats = -2
odette > gatotkaca = -2
odette > terizla = -2
odette > fredrinn = -2
odette > minotaur = -2
odette > edith = -2

vale Vale mid
vale > rafaela = 2
vale > odette = 2
vale > estes = 2
vale > faramis = 2
vale > melissa = 2
vale > chip = 2
vale > popol = 2
vale > terizla = 2
vale > hilda = 2
vale > valentina = -2
vale > gloo = -2
vale > hylos = -2
vale > ling = -2
vale > yve = -2
vale > hayabusa = -2

miya Miya gold
miya > masha = 2
miya > saber = 2
miya > irithel = 2
miya > obsidia = 2
miya > diggie = 2
miya > hanzo = 2
miya > gloo = 2
miya > eudora = 2
miya > sun = 2
miya > belerick = -2
miya > gatotkaca = -2
miya > lolita = -2
miya > fredrinn = -1
miya > leomord = -1
miya > pharsa = -1
miya > yve = -1

clint Clint gold
clint > lolita = 2
clint > karina = 2
clint > belerick = 2
clint > x.borg = 2
clint > aulus = 2
clint > khaleed = 2
clint > yve = 2
clint > miya = 1
clint > layla = -1
clint > gloo = -1
clint > moskov = -1
clint > fanny = -1
clint > chip = -1
clint > karrie = -1
clint > melissa = -1

cyclops Cyclops mid
cyclops > natalia = 2
cyclops > joy = 2
cyclops > wanwan = 2
cyclops > ling = 2
cyclops > benedetta = 2
cyclops > faramis = 2
cyclops > akai = 2
cyclops > terizla = 2
cyclops > alpha = 2
cyclops > lolita = -2
cyclops > estes = -2
cyclops > odette = -2
cyclops > aulus = -2
cyclops > aamon = -2
cyclops > lancelot = -1
cyclops > alucard = -1
cyclops > kagura = -1

suyou Suyou jungle
suyou > sun = 2
suyou > hanzo = 2
suyou > natalia = 2
suyou > lylia = 2
suyou > balmond = 2
suyou > masha = 2
suyou > x.borg = 2
suyou > lapulapu = 2
suyou > ixia = 1
suyou > fredrinn = 1
suyou > silvanna = -2
suyou > harith = -2
suyou > cyclops = -1
suyou > julian = -1
suyou > alucard = -1
suyou > badang = -1
suyou > melissa = -1

thamuz Thamuz exp
thamuz > alice = 2
thamuz > alucard = 2
thamuz > fredrinn = 2
thamuz > odette = 2
thamuz > lolita = 2
thamuz > faramis = 2
thamuz > esmeralda = 2
thamuz > uranus = 2
thamuz > zilong = 1
thamuz > sun = 1
thamuz > cici = -2
thamuz > baxia = -2
thamuz > valir = -2
thamuz > benedetta = -2
thamuz > yisunshin = -2
thamuz > karrie = -2
thamuz > irithel = -2

badang Badang roam, exp
badang > fanny = 2
badang > sun = 2
badang > popol = 2
badang > zilong = 1
badang > gloo = 2
badang > aldous = 2
badang > masha = 1
badang > layla = 1
badang > odette = 1
badang > lolita = -2
badang > gatotkaca = -2
badang > esmeralda = -2
badang > lukas = -2
badang > lapulapu = -2
badang > wanwan = -1
badang > ling = -1

sora Sora exp
sora > lolita = 2
sora > estes = 2
sora > sun = 2
sora > popol = 2
sora > aulus = 2
sora > yve = 2
sora > faramis = 2
sora > rafaela = 2
sora > nolan = 1
sora > layla = 1
sora > miya = 1
sora > hanabi = 1
sora > phoveus = -2
sora > alice = -2
sora > minsitthar = -2
sora > balmond = -1
sora > edith = -1
sora > valir = -1
sora > fanny = -1
sora > arlott = -1

helcurt Helcurt jungle
helcurt > hanzo = 2
helcurt > gord = 2
helcurt > x.borg = 2
helcurt > valir = 2
helcurt > xavier = 2
helcurt > layla = 1
helcurt > change = 1
helcurt > vale = 1
helcurt > natalia = -2
helcurt > brody = -2
helcurt > karina = -2
helcurt > eudora = -2
helcurt > obsidia = -2
helcurt > fredrinn = -2
helcurt > belerick = -2
helcurt > gatotkaca = -2

baxia Baxia jungle
baxia > obsidia = 2
baxia > aulus = 2
baxia > phoveus = 2
baxia > zhask = 2
baxia > lukas = 2
baxia > chip = 2
baxia > alice = 2
baxia > saber = 2
baxia > thamuz = 2
baxia > change = 1
baxia > silvanna = 1
baxia > x.borg = -2
baxia > lolita = -2
baxia > joy = -2
baxia > zhuxin = -2
baxia > yve = -2
baxia > karrie = -2
baxia > lesley = -2

kagura Kagura mid
kagura > lolita = 2
kagura > hanzo = 1
kagura > valir = 2
kagura > yin = 2
kagura > x.borg = 2
kagura > tigreal = 1
kagura > layla = 1
kagura > eudora = 1
kagura > khufra = -2
kagura > barats = -2
kagura > faramis = -2
kagura > obsidia = -2
kagura > paquito = -2
kagura > joy = -1
kagura > martis = -1

johnson Johnson roam
johnson > layla = 2
johnson > zilong = 2
johnson > saber = 2
johnson > eudora = 2
johnson > valentina = 2
johnson > popol = 2
johnson > alucard = 1
johnson > alice = -2
johnson > mathilda = -2
johnson > minotaur = -2
johnson > atlas = -2
johnson > belerick = -2
johnson > harith = -1
johnson > kagura = -1

lylia Lylia mid
lylia > lolita = 2
lylia > alpha = 2
lylia > barats = 2
lylia > johnson = 2
lylia > hanabi = 2
lylia > terizla = 2
lylia > alice = 2
lylia > carmilla = 1
lylia > hylos = 1
lylia > joy = -2
lylia > guinevere = -2
lylia > wanwan = -2
lylia > mathilda = -2
lylia > paquito = -2
lylia > nolan = -1
lylia > ling = -1

alucard Alucard jungle
alucard > sun = 2
alucard > natalia = 2
alucard > mathilda = 2
alucard > kaja = 2
alucard > saber = 2
alucard > faramis = 2
alucard > harith = 2
alucard > harley = 1
alucard > aamon = 1
alucard > melissa = -2
alucard > fredrinn = -2
alucard > phoveus = -2
alucard > baxia = -2
alucard > terizla = -2
alucard > franco = -1
alucard > johnson = -1

gusion Gusion mid, jungle
gusion > natalia = 1
gusion > aamon = 2
gusion > x.borg = 2
gusion > yve = 1
gusion > suyou = 1
gusion > valir = 2
gusion > gord = 1
gusion > hanabi = 1
gusion > layla = 1
gusion > eudora = -2
gusion > alucard = -2
gusion > lolita = -2
gusion > odette = -1
gusion > baxia = -1
gusion > franco = -1
gusion > kaja = -1

cecilion Cecilion mid
cecilion > lolita = 2
cecilion > terizla = 1
cecilion > barats = 1
cecilion > aulus = 1
cecilion > diggie = 1
cecilion > faramis = 1
cecilion > martis = 1
cecilion > balmond = 1
cecilion > hanzo = -2
cecilion > hayabusa = -1
cecilion > zilong = -1
cecilion > aamon = -1
cecilion > ixia = -1
cecilion > fanny = -1
cecilion > ling = -1

saber Saber jungle, roam
saber > natalia = 2
saber > nolan = 2
saber > hayabusa = 2
saber > ling = 2
saber > mathilda = 2
saber > zhuxin = 2
saber > layla = 1
saber > eudora = 1
saber > masha = -2
saber > barats = -2
saber > fredrinn = -2
saber > sun = -2
saber > argus = -2
saber > estes = -1
saber > faramis = -1

julian Julian jungle
julian > valentina = 2
julian > esmeralda = 2
julian > sun = 2
julian > uranus = 1
julian > x.borg = 1
julian > mathilda = 2
julian > alice = 2
julian > aldous = 1
julian > cecilion = 1
julian > tigreal = -1
julian > granger = -1
julian > minsitthar = -1
julian > barats = -1
julian > vale = -1
julian > joy = -1
julian > harith = -1

change Chang'e mid
change > diggie = 2
change > masha = 1
change > barats = 1
change > balmond = 1
change > gord = 1
change > faramis = 1
change > x.borg = 1
change > vale = 1
change > lancelot = 1
change > odette = 1
change > eudora = 1
change > lolita = -2
change > claude = -1
change > popol = -1
change > esmeralda = -1
change > joy = -1
change > hanzo = -1
change > harley = -1

aldous Aldous exp
aldous > sun = 2
aldous > joy = 2
aldous > novaria = 2
aldous > helcurt = 2
aldous > xavier = 2
aldous > faramis = 2
aldous > gord = 2
aldous > belerick = 2
aldous > zilong = 1
aldous > leomord = 1
aldous > karina = -2
aldous > melissa = -2
aldous > esmeralda = -2
aldous > jawhead = -2
aldous > harith = -2
aldous > martis = -1
aldous > dyrroth = -1

x.borg X.Borg exp
x.borg > barats = 2
x.borg > baxia = 2
x.borg > terizla = 2
x.borg > cici = 2
x.borg > hylos = 2
x.borg > phoveus = 2
x.borg > ruby = 2
x.borg > aulus = 2
x.borg > zilong = -2
x.borg > helcurt = -2
x.borg > angela = -2
x.borg > floryn = -2
x.borg > paquito = -2
x.borg > dyrroth = -1
